restaurant_id,restaurant_name,cuisine,zone,commission_rate,avg_prep_time_min,opened_year,price_tier,is_premium_partner,seating_capacity
RST100,Desert Grill,Lebanese,Downtown,0.19,11,2019,$$,No,60
RST101,Urban Diner,Japanese,Downtown,0.24,24,2015,$$,Yes,40
RST102,Spice Diner,Italian,Downtown,0.3,20,2017,$$,No,0
RST103,Sunset House,Indian,Downtown,0.23,14,2018,$,Yes,0
RST104,Little Diner,Japanese,Downtown,0.29,27,2023,$,Yes,80
RST105,Little Corner,Japanese,Downtown,0.28,11,2024,$$,Yes,60
RST107,Casa Oven,Chinese,Downtown,0.23,15,2024,$$,No,80
RST108,Palm Kitchen,Italian,Downtown,0.29,9,2015,$$,No,0
RST109,Palm Bites,American,Downtown,0.19,24,2024,$$$,No,0
RST110,Little Souk,Healthy,Downtown,0.16,17,2023,$,Yes,40
RST111,Palm Oven,American,Downtown,0.15,23,2017,$,No,0
RST112,Royal Souk,Japanese,Downtown,0.29,11,2021,$$,Yes,0
RST113,Ocean Grill,Japanese,Downtown,0.27,10,2017,$,Yes,0
RST114,Spice Souk,Emirati,Downtown,0.23,20,2024,$$$,No,60
RST115,Blue Diner,Chinese,Downtown,0.19,11,2022,$$$,No,20
RST116,Ocean Express,Lebanese,Downtown,0.28,8,2024,$$,Yes,0
RST117,Little Table,Emirati,Downtown,0.15,29,2016,$$$,Yes,80
RST118,Palm Table,Indian,Downtown,0.17,29,2021,$$,No,40
RST119,Spice Souk,Chinese,Downtown,0.21,16,2019,$,No,20
RST120,Spice House,American,Downtown,0.3,29,2022,$$$,No,60
RST121,Sunset Diner,Chinese,Downtown,0.21,16,2021,$$$,No,80
RST122,Royal House,Lebanese,Downtown,0.25,12,2017,$$,No,0
RST123,Casa Oven,Japanese,Downtown,0.23,29,2024,$,No,0
RST124,Bayt Feast,Indian,Downtown,0.27,16,2017,$$$,No,0
RST125,Royal Feast,Chinese,Downtown,0.2,19,2022,$$$,No,80
RST126,Golden Express,Emirati,Downtown,0.26,12,2022,$$,No,0
RST127,Golden Bites,Chinese,Downtown,0.15,12,2015,$$$,No,60
RST128,Bayt Table,Lebanese,Downtown,0.23,29,2016,$,Yes,60
RST129,Sunset Feast,Chinese,Downtown,0.16,23,2018,$$$,No,80
RST130,Desert Express,American,Downtown,0.18,23,2024,$$,No,40
RST131,Palm Feast,Japanese,Downtown,0.16,27,2019,$$$,No,20
RST132,Bayt Garden,American,Downtown,0.18,24,2020,$$$,Yes,20
RST133,Spice Table,American,Downtown,0.2,12,2019,$$$,No,20
RST134,Blue Grill,Lebanese,Downtown,0.25,11,2022,$$$,No,0
RST135,Ocean Table,Lebanese,Downtown,0.29,17,2024,$$,No,60
RST136,Little Garden,Chinese,Downtown,0.28,11,2022,$$$,No,40
RST137,Palm Table,Healthy,Downtown,0.21,25,2021,$$$,No,0
RST138,Ocean Express,Lebanese,Downtown,0.23,22,2024,$,No,0
RST139,Desert Corner,Chinese,Downtown,0.25,27,2016,$$,No,0
RST140,Blue Feast,Indian,Downtown,0.29,13,2015,$$,No,20
RST141,Desert Bites,American,Downtown,0.28,29,2019,$,Yes,20
RST142,Little Kitchen,Chinese,Downtown,0.22,11,2023,$$$,No,0
RST143,Little Souk,Japanese,Downtown,0.24,23,2016,$$$,No,0
RST144,Golden Kitchen,Indian,Downtown,0.26,23,2022,$$,No,60
RST145,Spice Diner,Indian,Downtown,0.2,15,2024,$$$,Yes,80
RST146,Urban Diner,Italian,Downtown,0.27,16,2020,$$,Yes,80
RST147,Sunset Grill,Indian,Downtown,0.2,22,2022,$,Yes,60
RST148,Blue Feast,Healthy,Marina,0.21,21,2024,$$,Yes,20
RST149,Royal Souk,Italian,Marina,0.22,17,2023,$$,No,20
RST150,Blue Corner,American,Marina,0.26,15,2015,$,Yes,60
RST151,Casa Kitchen,Japanese,Marina,0.21,10,2018,$$$,No,80
RST152,Spice Oven,Chinese,Marina,0.22,15,2019,$$,Yes,0
RST153,Blue Oven,American,Marina,0.24,13,2021,$$,No,0
RST154,Golden Kitchen,Italian,Marina,0.16,8,2020,$$,No,60
RST155,Sunset Bites,Healthy,Marina,0.27,21,2023,$,No,40
RST156,Urban Corner,Emirati,Marina,0.22,13,2016,$,No,20
RST157,Royal Feast,Lebanese,Marina,0.21,24,2019,$,Yes,20
RST158,Blue Grill,Lebanese,Marina,0.21,18,2017,$$$,Yes,60
RST159,Bayt Table,Healthy,Marina,0.26,29,2015,$$$,Yes,80
RST160,Bayt Garden,Chinese,Marina,0.18,20,2017,$,No,0
RST161,Ocean Grill,American,Marina,0.25,22,2018,$$$,No,80
RST164,Blue Bites,Italian,Marina,0.26,27,2023,$,No,40
RST165,Palm Feast,Chinese,Marina,0.21,8,2018,$,Yes,60
RST166,Palm Garden,Japanese,Marina,0.17,25,2017,$$$,No,20
RST167,Urban House,Italian,Marina,0.22,12,2016,$$$,Yes,0
RST168,Palm House,Emirati,Marina,0.21,12,2023,$,No,40
RST169,Palm Express,Emirati,Marina,0.21,16,2020,$$$,No,0
RST170,Spice House,Indian,Marina,0.16,27,2016,$$,No,0
RST171,Palm Grill,Healthy,Marina,0.28,18,2016,$,No,40
RST172,Bayt House,American,Marina,0.19,17,2019,$$,Yes,0
RST173,Blue Diner,Emirati,Marina,0.22,30,2020,$$,No,0
RST174,Ocean Grill,Chinese,Marina,0.25,25,2017,$$$,Yes,0
RST175,Blue Kitchen,Chinese,Marina,0.21,29,2021,$$,No,20
RST176,Golden Kitchen,Indian,Marina,0.23,15,2021,$$$,No,0
RST177,Palm Corner,Japanese,Marina,0.22,24,2020,$$$,No,60
RST178,Palm Souk,Emirati,Marina,0.25,26,2021,$$,Yes,0
RST179,Royal Bites,Emirati,Marina,0.27,17,2018,$$,No,20
RST180,Blue Diner,Japanese,Marina,0.27,18,2017,$$$,No,20
RST181,Urban Garden,Emirati,Marina,0.17,20,2021,$,Yes,60
RST182,Sunset Oven,Indian,Marina,0.26,12,2018,$$$,No,0
RST183,Palm Bites,Italian,Marina,0.25,24,2015,$$$,No,0
RST184,Palm Kitchen,Japanese,Marina,0.25,29,2024,$$$,No,40
RST185,Blue Bites,Healthy,Marina,0.16,17,2017,$$,No,0
RST186,Royal Feast,Emirati,Marina,0.24,13,2022,$,No,20
RST187,Little Garden,Indian,Marina,0.29,24,2024,$,Yes,0
RST188,Blue Corner,Indian,Jumeirah Lakes Towers,0.24,16,2019,$$,No,20
RST189,Little Bites,Lebanese,Jumeirah Lakes Towers,0.25,29,2022,$$,No,0
RST190,Golden House,Italian,Jumeirah Lakes Towers,0.17,8,2020,$$,No,0
RST191,Spice Oven,Healthy,Jumeirah Lakes Towers,0.3,17,2022,$$$,No,20
RST192,Sunset Kitchen,Indian,Jumeirah Lakes Towers,0.26,12,2017,$,Yes,60
RST193,Sunset Souk,Healthy,Jumeirah Lakes Towers,0.18,10,2017,$$,Yes,0
RST194,Casa House,American,Jumeirah Lakes Towers,0.16,9,2021,$$,No,0
RST195,Bayt Oven,Indian,Jumeirah Lakes Towers,0.24,15,2015,$$$,No,40
RST196,Desert Bites,Japanese,Jumeirah Lakes Towers,0.21,29,2015,$,No,0
RST197,Urban Diner,Emirati,Jumeirah Lakes Towers,0.28,9,2015,$$,Yes,40
RST198,Bayt Souk,Lebanese,Jumeirah Lakes Towers,0.29,11,2019,$$$,No,0
RST199,Blue Souk,Lebanese,Jumeirah Lakes Towers,0.23,12,2015,$$,No,60
RST200,Spice Express,Indian,Jumeirah Lakes Towers,0.16,22,2017,$$,No,60
RST201,Desert Table,Lebanese,Jumeirah Lakes Towers,0.24,20,2022,$$$,No,80
RST202,Palm Garden,Italian,Jumeirah Lakes Towers,0.24,30,2017,$$$,No,20
RST203,Ocean Express,Japanese,Jumeirah Lakes Towers,0.18,26,2023,$$,No,80
RST204,Royal Souk,Emirati,Jumeirah Lakes Towers,0.19,20,2018,$$$,Yes,40
RST205,Blue Table,Indian,Jumeirah Lakes Towers,0.15,30,2017,$,No,0
RST206,Palm Garden,Healthy,Jumeirah Lakes Towers,0.2,27,2020,$$$,Yes,40
RST207,Palm Kitchen,Healthy,Jumeirah Lakes Towers,0.25,26,2020,$,No,80
RST209,Bayt Garden,Healthy,Jumeirah Lakes Towers,0.28,9,2018,$$,Yes,80
RST210,Sunset Garden,Indian,Jumeirah Lakes Towers,0.28,15,2017,$,No,40
RST211,Royal Garden,Italian,Jumeirah Lakes Towers,0.23,21,2015,$,No,60
RST212,Little Corner,Lebanese,Jumeirah Lakes Towers,0.17,19,2021,$$$,Yes,60
